order_id,user_id,session_id,order_date,country,device,ab_group,category,order_value_eur,items_count,is_returned
ORD000052,U00072,S000259,2023-06-03,RO,iOS,control,Electronics,163.11,5,0
ORD000053,U00072,S000262,2023-06-07,RO,iOS,control,Beauty,203.4,2,1
ORD000054,U00073,S000263,2023-08-08,CZ,Android,control,Electronics,211.94,6,0
ORD000055,U00074,S000266,2023-06-02,DE,iOS,control,Beauty,285.29,2,0
ORD000056,U00074,S000268,2023-07-24,DE,iOS,control,Fashion,181.33,1,0
ORD000057,U00075,S000270,2023-08-22,DE,iOS,variant,Home & Garden,251.41,1,1
ORD000058,U00075,S000272,2023-06-06,DE,iOS,control,Home & Garden,179.43,6,0
ORD000059,U00079,S000283,2023-06-05,DE,iOS,variant,Electronics,96.0,6,0
ORD000060,U00080,S000288,2023-06-13,PL,iOS,variant,Fashion,296.39,2,0
ORD000061,U00081,S000291,2023-07-24,DE,iOS,variant,Beauty,147.69,6,1
ORD000062,U00083,S000294,2023-06-04,PL,iOS,variant,Fashion,221.23,6,1
ORD000063,U00083,S000295,2023-07-19,PL,iOS,control,Sports,79.05,6,0
ORD000064,U00084,S000297,2023-07-10,CZ,Android,control,Beauty,220.63,2,0
ORD000065,U00085,S000302,2023-06-23,CZ,Android,control,Electronics,234.69,2,0
ORD000066,U00089,S000313,2023-07-28,PL,iOS,control,Electronics,202.1,4,0
ORD000067,U00089,S000315,2023-07-18,PL,iOS,variant,Fashion,74.54,4,0
ORD000068,U00090,S000320,2023-07-09,DE,Android,variant,Home & Garden,89.95,1,1
ORD000069,U00091,S000324,2023-08-22,SK,iOS,variant,Home & Garden,69.55,2,1
ORD000070,U00092,S000327,2023-07-02,DE,Android,control,Beauty,199.23,5,0
ORD000071,U00095,S000335,2023-07-24,DE,iOS,control,Home & Garden,79.3,2,1
ORD000072,U00099,S000352,2023-07-19,SK,iOS,control,Home & Garden,142.46,4,0
ORD000073,U00099,S000356,2023-06-10,SK,iOS,variant,Sports,190.58,3,0
ORD000074,U00102,S000369,2023-08-18,DE,iOS,variant,Beauty,207.45,6,1
ORD000075,U00103,S000370,2023-07-09,DE,Android,control,Electronics,272.77,4,0
ORD000076,U00105,S000377,2023-06-12,RO,Android,variant,Sports,56.75,5,0
ORD000077,U00105,S000380,2023-07-03,RO,Android,variant,Fashion,218.49,6,1
ORD000078,U00106,S000381,2023-06-19,PL,iOS,variant,Fashion,277.99,6,0
ORD000079,U00106,S000382,2023-08-01,PL,iOS,control,Beauty,22.14,4,0
ORD000080,U00112,S000398,2023-06-15,DE,Android,variant,Home & Garden,83.18,5,0
ORD000081,U00112,S000399,2023-08-02,DE,Android,variant,Fashion,166.6,4,0
ORD000082,U00113,S000400,2023-07-13,CZ,Android,control,Sports,261.02,5,0
ORD000083,U00113,S000404,2023-08-23,CZ,Android,control,Home & Garden,190.98,4,0
ORD000084,U00115,S000410,2023-08-21,DE,Android,variant,Fashion,62.18,5,1
ORD000085,U00115,S000411,2023-07-01,DE,Android,control,Sports,82.91,6,0
ORD000086,U00117,S000419,2023-07-20,DE,iOS,control,Fashion,11.51,2,0
ORD000087,U00118,S000422,2023-07-06,CZ,iOS,control,Beauty,193.68,2,1
ORD000088,U00119,S000423,2023-08-24,CZ,Android,variant,Fashion,120.82,3,0
ORD000089,U00119,S000424,2023-08-23,CZ,Android,variant,Electronics,205.55,6,0
ORD000090,U00119,S000426,2023-06-07,CZ,Android,control,Sports,175.36,6,0
ORD000091,U00121,S000429,2023-08-28,RO,Android,variant,Fashion,237.93,2,1
ORD000092,U00121,S000430,2023-07-10,RO,Android,control,Home & Garden,259.48,4,0
ORD000093,U00122,S000433,2023-08-20,CZ,Android,variant,Electronics,81.22,6,0
ORD000094,U00123,S000437,2023-06-06,CZ,Android,variant,Electronics,277.06,2,0
ORD000095,U00123,S000440,2023-07-11,CZ,Android,control,Beauty,225.67,2,0
ORD000096,U00124,S000442,2023-07-18,PL,Android,variant,Fashion,129.81,2,0
ORD000097,U00126,S000449,2023-07-17,DE,Android,variant,Fashion,293.64,5,1
ORD000098,U00128,S000459,2023-08-22,DE,iOS,variant,Home & Garden,152.72,6,1
ORD000099,U00130,S000463,2023-07-24,DE,Android,variant,Sports,298.15,4,0
ORD000100,U00131,S000467,2023-07-22,DE,iOS,control,Fashion,42.85,6,0
ORD000101,U00132,S000472,2023-07-18,SK,Android,variant,Fashion,279.51,2,0
ORD000102,U00133,S000474,2023-07-22,DE,Android,variant,Fashion,93.69,3,1
ORD000103,U00134,S000478,2023-07-15,PL,iOS,control,Home & Garden,112.18,6,0
ORD000104,U00135,S000479,2023-08-12,DE,Android,variant,Beauty,144.29,1,0
ORD000105,U00135,S000483,2023-08-20,DE,Android,variant,Beauty,36.88,4,0
ORD000106,U00141,S000501,2023-07-16,DE,Android,control,Fashion,76.69,6,0
ORD000107,U00141,S000502,2023-06-07,DE,Android,variant,Electronics,40.82,6,0
ORD000108,U00144,S000511,2023-07-13,PL,Android,variant,Beauty,127.32,4,1
ORD000109,U00144,S000514,2023-08-15,PL,Android,variant,Home & Garden,52.81,5,0
ORD000110,U00145,S000515,2023-08-12,RO,Android,control,Fashion,12.15,2,0
ORD000111,U00145,S000516,2023-08-09,RO,Android,variant,Sports,92.88,2,0
ORD000112,U00146,S000520,2023-07-11,DE,iOS,variant,Home & Garden,225.96,5,0
ORD000113,U00148,S000526,2023-08-08,PL,iOS,control,Electronics,24.13,3,1
ORD000114,U00152,S000541,2023-08-22,PL,Android,control,Sports,94.24,2,0
ORD000115,U00152,S000543,2023-07-24,PL,Android,variant,Electronics,82.26,5,0
ORD000116,U00154,S000548,2023-08-21,CZ,iOS,control,Sports,197.33,1,0
ORD000117,U00155,S000553,2023-07-30,SK,Android,variant,Beauty,270.54,4,0
ORD000118,U00156,S000555,2023-07-11,DE,Android,control,Home & Garden,159.86,6,0
ORD000119,U00157,S000559,2023-08-28,CZ,Android,control,Fashion,291.1,2,0
ORD000120,U00158,S000562,2023-08-21,DE,iOS,variant,Beauty,108.05,6,0
ORD000121,U00158,S000563,2023-07-02,DE,iOS,variant,Fashion,104.0,4,0
ORD000122,U00161,S000572,2023-06-17,RO,iOS,variant,Beauty,188.8,1,1
ORD000123,U00162,S000573,2023-07-11,DE,iOS,control,Beauty,50.25,2,0
ORD000124,U00164,S000583,2023-08-10,PL,Android,control,Beauty,93.96,2,0
ORD000125,U00165,S000585,2023-08-06,DE,iOS,variant,Sports,91.66,6,0
ORD000126,U00166,S000590,2023-07-02,DE,Android,variant,Home & Garden,153.33,5,1
ORD000127,U00167,S000596,2023-08-12,SK,iOS,variant,Electronics,231.81,2,0
ORD000128,U00168,S000598,2023-08-02,PL,Android,variant,Electronics,271.59,5,0
ORD000129,U00168,S000599,2023-08-28,PL,Android,control,Sports,263.83,6,0
ORD000130,U00174,S000616,2023-08-26,DE,iOS,variant,Sports,146.01,4,0
ORD000131,U00175,S000619,2023-08-29,PL,Android,variant,Fashion,194.7,3,0
ORD000132,U00178,S000631,2023-07-19,SK,Android,variant,Electronics,161.37,3,0
ORD000133,U00179,S000633,2023-08-02,PL,Android,variant,Sports,284.03,4,1
ORD000134,U00179,S000635,2023-07-25,PL,Android,variant,Electronics,259.66,5,0
ORD000135,U00181,S000641,2023-07-20,DE,iOS,variant,Fashion,162.87,4,0
ORD000136,U00182,S000647,2023-08-01,CZ,iOS,variant,Electronics,229.12,3,0
ORD000137,U00184,S000655,2023-06-15,SK,Android,variant,Electronics,37.63,3,0
ORD000138,U00185,S000656,2023-06-18,CZ,Android,variant,Home & Garden,228.45,5,0
ORD000139,U00187,S000665,2023-08-28,DE,Android,variant,Home & Garden,139.64,6,0
ORD000140,U00190,S000677,2023-07-01,CZ,Android,control,Fashion,106.29,2,0
ORD000141,U00195,S000690,2023-08-10,DE,iOS,control,Fashion,72.99,1,0
ORD000142,U00199,S000701,2023-07-03,DE,Android,control,Electronics,19.4,3,0
ORD000143,U00199,S000704,2023-08-23,DE,Android,variant,Fashion,164.22,6,1
ORD000144,U00202,S000713,2023-08-08,CZ,Android,variant,Sports,135.75,6,0
ORD000145,U00203,S000714,2023-08-29,DE,Android,control,Beauty,259.22,1,0
ORD000146,U00204,S000719,2023-06-14,DE,iOS,variant,Home & Garden,17.6,5,0
ORD000147,U00206,S000726,2023-07-04,CZ,Android,variant,Fashion,73.86,5,0
ORD000148,U00208,S000734,2023-06-13,RO,Android,variant,Sports,21.16,4,0
ORD000149,U00209,S000739,2023-07-07,RO,Android,variant,Beauty,118.07,4,0
ORD000150,U00212,S000748,2023-07-14,SK,iOS,variant,Sports,167.58,2,0
ORD000151,U00213,S000749,2023-06-30,DE,iOS,variant,Home & Garden,38.28,2,0
ORD000152,U00213,S000751,2023-07-25,DE,iOS,variant,Electronics,150.32,4,0
ORD000153,U00215,S000758,2023-06-17,PL,Android,variant,Home & Garden,271.1,5,0
ORD000154,U00216,S000761,2023-06-04,DE,Android,variant,Home & Garden,263.6,1,0
ORD000155,U00221,S000777,2023-08-11,DE,iOS,variant,Sports,289.54,5,0
ORD000156,U00222,S000778,2023-06-22,DE,iOS,control,Fashion,74.17,2,1
ORD000157,U00222,S000781,2023-08-03,DE,iOS,variant,Sports,106.13,6,0
ORD000158,U00223,S000782,2023-06-05,CZ,iOS,control,Beauty,157.0,4,0
ORD000159,U00228,S000800,2023-07-23,DE,iOS,variant,Sports,227.99,3,0
ORD000160,U00230,S000809,2023-08-27,PL,iOS,control,Electronics,230.14,5,1
ORD000161,U00234,S000825,2023-07-24,CZ,Android,control,Sports,136.14,1,0
ORD000162,U00238,S000838,2023-07-27,CZ,iOS,variant,Electronics,106.95,5,0
ORD000163,U00239,S000840,2023-07-28,PL,Android,control,Sports,117.41,4,1
ORD000164,U00240,S000844,2023-07-29,PL,Android,variant,Fashion,85.5,1,0
ORD000165,U00242,S000855,2023-07-01,DE,Android,variant,Fashion,155.62,6,0
ORD000166,U00243,S000857,2023-07-17,DE,iOS,variant,Home & Garden,34.61,3,0
ORD000167,U00244,S000858,2023-07-19,DE,iOS,control,Beauty,57.05,1,0
ORD000168,U00245,S000863,2023-08-25,PL,Android,variant,Fashion,211.05,3,0
ORD000169,U00247,S000871,2023-06-05,DE,Android,control,Beauty,143.49,4,1
ORD000170,U00248,S000876,2023-07-30,RO,iOS,control,Sports,265.62,6,0
ORD000171,U00251,S000887,2023-07-05,DE,Android,variant,Home & Garden,20.24,1,0
ORD000172,U00252,S000893,2023-06-18,CZ,iOS,variant,Sports,50.49,4,0
ORD000173,U00254,S000902,2023-06-25,CZ,Android,control,Electronics,45.58,6,0
ORD000174,U00254,S000904,2023-07-05,CZ,Android,control,Home & Garden,160.32,3,0
ORD000175,U00258,S000918,2023-07-12,CZ,Android,variant,Fashion,112.41,6,1
ORD000176,U00259,S000922,2023-07-13,DE,Android,variant,Sports,157.12,2,1
ORD000177,U00262,S000931,2023-06-06,DE,Android,variant,Fashion,10.86,5,1
ORD000178,U00262,S000933,2023-07-16,DE,Android,variant,Electronics,218.07,4,0
ORD000179,U00263,S000936,2023-08-26,DE,iOS,variant,Fashion,230.6,3,0
ORD000180,U00263,S000938,2023-08-14,DE,iOS,variant,Fashion,11.22,6,0
ORD000181,U00265,S000944,2023-08-22,DE,Android,variant,Electronics,84.59,5,0
ORD000182,U00267,S000950,2023-07-14,PL,Android,control,Fashion,208.43,3,0
ORD000183,U00268,S000958,2023-07-05,DE,iOS,control,Sports,154.89,6,0
ORD000184,U00270,S000963,2023-07-31,DE,Android,variant,Beauty,239.45,4,1
ORD000185,U00271,S000967,2023-08-22,DE,iOS,variant,Beauty,195.08,5,0
ORD000186,U00273,S000971,2023-07-04,PL,iOS,variant,Home & Garden,148.95,6,0
ORD000187,U00273,S000974,2023-08-23,PL,iOS,variant,Sports,294.25,1,1
ORD000188,U00275,S000980,2023-07-24,DE,Android,control,Fashion,141.8,1,1
ORD000189,U00275,S000982,2023-06-22,DE,Android,control,Fashion,195.84,4,0
ORD000190,U00275,S000983,2023-06-28,DE,Android,variant,Sports,53.16,5,0
ORD000191,U00276,S000987,2023-08-20,DE,iOS,variant,Electronics,74.68,5,0
ORD000192,U00279,S000995,2023-07-27,PL,iOS,control,Fashion,161.42,4,1
ORD000193,U00279,S000996,2023-06-06,PL,iOS,variant,Home & Garden,55.57,1,0
ORD000194,U00280,S000998,2023-06-14,PL,Android,variant,Beauty,68.19,2,0
ORD000195,U00282,S001003,2023-08-04,PL,Android,variant,Electronics,243.78,3,0
ORD000196,U00284,S001010,2023-08-08,RO,iOS,control,Electronics,24.6,1,0
ORD000197,U00284,S001012,2023-07-17,RO,iOS,control,Sports,10.91,2,1
ORD000198,U00292,S001041,2023-08-16,DE,iOS,variant,Sports,241.82,4,0
ORD000199,U00293,S001042,2023-08-03,DE,iOS,variant,Sports,249.3,3,0
ORD000200,U00293,S001044,2023-07-10,DE,iOS,variant,Beauty,287.36,5,0
ORD000201,U00296,S001052,2023-08-15,DE,iOS,variant,Beauty,86.22,5,0
ORD000202,U00297,S001060,2023-08-07,CZ,Android,variant,Sports,119.39,4,0
ORD000203,U00298,S001063,2023-07-09,PL,Android,control,Beauty,161.86,5,0
ORD000204,U00299,S001067,2023-07-16,DE,Android,variant,Beauty,273.73,5,0
ORD000205,U00303,S001078,2023-07-10,RO,Android,control,Electronics,141.87,3,0
ORD000206,U00305,S001085,2023-07-22,SK,iOS,variant,Electronics,27.51,4,0
ORD000207,U00306,S001088,2023-06-16,DE,iOS,control,Sports,51.71,1,1
ORD000208,U00307,S001092,2023-06-27,PL,iOS,variant,Fashion,21.01,6,0
ORD000209,U00312,S001110,2023-08-27,DE,Android,variant,Fashion,227.49,3,0
ORD000210,U00312,S001112,2023-07-23,DE,Android,control,Electronics,13.2,6,0
ORD000211,U00313,S001115,2023-07-11,DE,Android,variant,Fashion,272.08,3,0
ORD000212,U00313,S001116,2023-08-18,DE,Android,control,Sports,24.05,4,0
ORD000213,U00322,S001143,2023-08-19,DE,iOS,control,Home & Garden,93.08,2,0
ORD000214,U00323,S001147,2023-07-30,DE,Android,variant,Fashion,259.05,2,0
ORD000215,U00326,S001158,2023-06-20,DE,Android,control,Electronics,147.84,5,0
ORD000216,U00328,S001166,2023-07-12,DE,Android,variant,Fashion,135.35,4,0
ORD000217,U00328,S001168,2023-08-04,DE,Android,variant,Fashion,35.44,3,0
ORD000218,U00336,S001194,2023-06-24,DE,Android,control,Fashion,155.49,6,0
ORD000219,U00336,S001195,2023-08-03,DE,Android,variant,Home & Garden,24.22,3,0
ORD000220,U00337,S001198,2023-08-12,PL,Android,variant,Home & Garden,171.22,3,0
ORD000221,U00342,S001219,2023-08-28,CZ,iOS,variant,Sports,66.94,1,0
ORD000222,U00343,S001221,2023-08-23,DE,iOS,variant,Home & Garden,286.75,4,0
ORD000223,U00346,S001231,2023-07-16,PL,Android,variant,Electronics,260.74,2,0
ORD000224,U00349,S001237,2023-06-25,PL,iOS,control,Electronics,238.52,2,0
ORD000225,U00349,S001238,2023-06-15,PL,iOS,variant,Home & Garden,120.47,5,0
ORD000226,U00350,S001242,2023-06-16,DE,Android,control,Electronics,142.73,5,0
ORD000227,U00351,S001244,2023-08-20,RO,Android,variant,Beauty,287.35,4,0
ORD000228,U00353,S001252,2023-07-19,PL,Android,variant,Beauty,258.99,5,0
ORD000229,U00354,S001255,2023-06-04,DE,iOS,variant,Home & Garden,206.59,3,0
ORD000230,U00355,S001259,2023-06-11,DE,iOS,control,Electronics,58.29,2,1
ORD000231,U00358,S001270,2023-08-21,DE,iOS,variant,Beauty,188.29,2,1
ORD000232,U00358,S001271,2023-06-28,DE,iOS,variant,Beauty,54.13,1,0
ORD000233,U00358,S001274,2023-08-02,DE,iOS,control,Fashion,199.3,2,0
ORD000234,U00359,S001276,2023-06-02,CZ,Android,variant,Electronics,229.12,2,1
ORD000235,U00362,S001284,2023-07-04,DE,Android,variant,Sports,132.08,1,0
ORD000236,U00363,S001291,2023-08-19,DE,Android,variant,Home & Garden,63.78,3,0
ORD000237,U00364,S001296,2023-06-01,DE,iOS,variant,Fashion,153.2,1,1
ORD000238,U00365,S001300,2023-07-31,CZ,Android,variant,Fashion,190.54,2,0
ORD000239,U00367,S001305,2023-06-07,PL,Android,variant,Home & Garden,236.6,5,1
ORD000240,U00370,S001313,2023-06-02,CZ,Android,variant,Beauty,292.99,5,0
ORD000241,U00375,S001328,2023-08-23,PL,Android,control,Home & Garden,128.46,1,0
ORD000242,U00375,S001330,2023-08-14,PL,Android,control,Sports,172.97,6,0
ORD000243,U00376,S001331,2023-07-12,PL,Android,variant,Home & Garden,289.9,5,0
ORD000244,U00381,S001343,2023-08-26,PL,iOS,variant,Fashion,77.55,3,0
ORD000245,U00381,S001345,2023-06-04,PL,iOS,variant,Electronics,81.05,5,0
ORD000246,U00382,S001347,2023-06-25,DE,Android,variant,Fashion,244.34,3,0
ORD000247,U00382,S001350,2023-06-19,DE,Android,variant,Beauty,202.39,6,0
ORD000248,U00383,S001354,2023-06-21,CZ,iOS,control,Sports,199.94,2,1
ORD000249,U00386,S001364,2023-06-10,RO,iOS,variant,Beauty,38.19,4,0
ORD000250,U00388,S001371,2023-07-10,DE,iOS,variant,Sports,285.75,5,0
ORD000251,U00391,S001380,2023-06-21,RO,iOS,control,Fashion,280.62,6,0
ORD000252,U00393,S001389,2023-08-11,DE,iOS,control,Home & Garden,280.13,4,0
ORD000253,U00397,S001407,2023-07-03,DE,iOS,variant,Electronics,91.62,3,0
ORD000254,U00398,S001412,2023-07-04,RO,Android,variant,Fashion,94.23,1,0
ORD000255,U00399,S001415,2023-08-03,DE,Android,variant,Home & Garden,248.15,1,0
ORD000256,U00401,S001421,2023-07-27,CZ,iOS,variant,Fashion,234.14,3,0
ORD000257,U00401,S001423,2023-08-17,CZ,iOS,control,Fashion,185.67,3,0
ORD000258,U00403,S001432,2023-08-29,CZ,iOS,control,Electronics,235.02,3,0
ORD000259,U00405,S001435,2023-07-15,DE,iOS,control,Fashion,226.51,4,0
ORD000260,U00405,S001437,2023-06-07,DE,iOS,control,Beauty,31.86,4,0
ORD000261,U00405,S001438,2023-06-13,DE,iOS,control,Sports,80.22,5,0
ORD000262,U00405,S001439,2023-07-25,DE,iOS,variant,Fashion,14.85,6,0
ORD000263,U00407,S001442,2023-08-13,PL,iOS,variant,Beauty,227.06,5,0
ORD000264,U00408,S001447,2023-07-04,PL,Android,variant,Electronics,164.2,2,0
ORD000265,U00411,S001458,2023-06-04,PL,Android,variant,Electronics,264.3,3,1
ORD000266,U00413,S001469,2023-07-04,PL,Android,variant,Fashion,224.58,5,0
ORD000267,U00414,S001470,2023-07-24,DE,iOS,variant,Sports,60.93,4,0
ORD000268,U00414,S001471,2023-07-18,DE,iOS,variant,Beauty,42.59,6,0
ORD000269,U00414,S001473,2023-06-10,DE,iOS,control,Electronics,174.8,1,0
ORD000270,U00415,S001474,2023-06-19,DE,Android,control,Sports,154.48,3,0
ORD000271,U00415,S001476,2023-06-18,DE,Android,control,Electronics,247.94,3,0
ORD000272,U00416,S001478,2023-06-15,CZ,iOS,variant,Sports,49.64,2,0
ORD000273,U00421,S001495,2023-07-24,CZ,Android,variant,Sports,142.04,5,0
ORD000274,U00421,S001496,2023-07-07,CZ,Android,control,Beauty,119.98,1,0
ORD000275,U00423,S001504,2023-06-17,SK,Android,variant,Electronics,189.57,2,0
ORD000276,U00424,S001508,2023-07-02,DE,Android,variant,Beauty,286.4,6,0
ORD000277,U00428,S001521,2023-07-28,RO,iOS,variant,Electronics,243.56,2,0
ORD000278,U00428,S001523,2023-07-31,RO,iOS,variant,Fashion,113.95,4,0
ORD000279,U00429,S001528,2023-06-09,DE,Android,variant,Beauty,101.24,5,0
ORD000280,U00431,S001534,2023-07-10,DE,iOS,control,Sports,62.63,6,0
ORD000281,U00437,S001554,2023-08-09,DE,Android,control,Home & Garden,93.04,2,1
ORD000282,U00438,S001556,2023-06-12,CZ,Android,variant,Home & Garden,177.23,6,0
ORD000283,U00439,S001558,2023-08-26,DE,Android,control,Beauty,277.23,4,0
ORD000284,U00439,S001559,2023-06-15,DE,Android,control,Fashion,155.3,5,1
ORD000285,U00441,S001567,2023-06-22,PL,iOS,control,Fashion,181.56,2,0
ORD000286,U00442,S001570,2023-06-22,SK,iOS,variant,Sports,91.05,5,0
ORD000287,U00443,S001574,2023-07-09,DE,Android,control,Home & Garden,287.47,6,0
ORD000288,U00443,S001575,2023-06-08,DE,Android,variant,Fashion,260.74,4,1
ORD000289,U00445,S001579,2023-07-14,CZ,iOS,variant,Electronics,249.82,4,0
ORD000290,U00450,S001591,2023-07-30,DE,iOS,control,Electronics,112.48,6,0
ORD000291,U00452,S001598,2023-06-28,CZ,Android,variant,Fashion,190.57,2,1
ORD000292,U00452,S001600,2023-07-07,CZ,Android,variant,Beauty,75.05,1,0
ORD000293,U00454,S001603,2023-08-20,RO,iOS,control,Electronics,75.45,5,0
ORD000294,U00455,S001609,2023-06-11,PL,iOS,control,Sports,46.1,2,0
ORD000295,U00455,S001610,2023-07-09,PL,iOS,control,Fashion,37.26,3,1
ORD000296,U00458,S001621,2023-08-21,DE,Android,control,Electronics,188.92,6,0
ORD000297,U00459,S001623,2023-06-09,DE,Android,variant,Fashion,38.31,5,0
ORD000298,U00459,S001624,2023-06-14,DE,Android,variant,Home & Garden,150.65,1,0
ORD000299,U00460,S001626,2023-06-15,DE,Android,variant,Electronics,283.39,5,0
ORD000300,U00465,S001639,2023-06-17,DE,Android,variant,Home & Garden,61.99,3,0
ORD000301,U00466,S001641,2023-08-27,CZ,Android,variant,Beauty,176.02,2,0
ORD000302,U00466,S001645,2023-08-12,CZ,Android,variant,Fashion,132.43,4,1
ORD000303,U00468,S001650,2023-07-19,PL,Android,variant,Sports,271.08,2,0
ORD000304,U00469,S001655,2023-08-01,PL,Android,control,Electronics,229.49,2,0
ORD000305,U00472,S001665,2023-06-27,DE,Android,control,Beauty,130.68,4,0
ORD000306,U00472,S001666,2023-07-11,DE,Android,control,Electronics,276.03,3,0
ORD000307,U00473,S001670,2023-07-15,RO,Android,control,Sports,108.44,1,0
ORD000308,U00476,S001683,2023-07-01,DE,Android,control,Home & Garden,77.76,6,0
ORD000309,U00478,S001692,2023-07-14,DE,iOS,variant,Electronics,201.75,1,0
ORD000310,U00478,S001694,2023-08-22,DE,iOS,variant,Sports,213.95,1,0
ORD000311,U00479,S001698,2023-06-11,DE,Android,control,Beauty,236.07,3,0
ORD000312,U00480,S001702,2023-06-01,CZ,Android,control,Fashion,195.46,1,0
ORD000313,U00481,S001705,2023-06-05,PL,iOS,control,Home & Garden,72.93,3,1
ORD000314,U00484,S001713,2023-08-18,CZ,Android,control,Fashion,241.55,1,0
ORD000315,U00486,S001717,2023-07-24,DE,iOS,control,Home & Garden,21.58,4,0
ORD000316,U00486,S001720,2023-06-01,DE,iOS,variant,Sports,122.42,2,0
ORD000317,U00489,S001732,2023-06-15,CZ,iOS,variant,Fashion,97.87,1,0
ORD000318,U00490,S001735,2023-06-21,CZ,iOS,variant,Home & Garden,29.9,1,0
ORD000319,U00490,S001737,2023-06-25,CZ,iOS,variant,Sports,48.35,2,0
ORD000320,U00493,S001748,2023-08-23,PL,Android,variant,Electronics,158.02,5,1
